epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,8769.65,1.51259,1.08293,1.12994,0.76096,0.69761,0.75583,0.5009,0.83453,0.80155,0.83169,0.00967528,0.00967528,0.00967528
166,8822.66,1.53304,1.16974,1.16025,0.76645,0.69542,0.75677,0.50122,0.83512,0.79968,0.83151,0.0096733,0.0096733,0.0096733
167,8875.53,1.50615,1.09866,1.1343,0.76381,0.69803,0.75672,0.50031,0.83578,0.80179,0.83085,0.00967132,0.00967132,0.00967132
168,8928.56,1.56729,1.08661,1.13471,0.76786,0.69678,0.75714,0.49964,0.83527,0.80034,0.83031,0.00966934,0.00966934,0.00966934
169,8981.44,1.53577,1.11571,1.2108,0.77666,0.69833,0.75663,0.49934,0.83558,0.80225,0.8303,0.00966736,0.00966736,0.00966736
170,9034.41,1.51324,1.10022,1.12511,0.77958,0.69706,0.75679,0.50225,0.83739,0.80246,0.83076,0.00966538,0.00966538,0.00966538
171,9087.49,1.52905,1.08479,1.15449,0.77497,0.71104,0.75577,0.502,0.83406,0.80136,0.82986,0.0096634,0.0096634,0.0096634
172,9140.55,1.58082,1.14096,1.21542,0.78668,0.70579,0.75506,0.50321,0.82833,0.79994,0.82996,0.00966142,0.00966142,0.00966142
173,9193.4,1.53006,1.0757,1.12413,0.78151,0.70812,0.75449,0.4997,0.82819,0.7994,0.82864,0.00965944,0.00965944,0.00965944
174,9246.37,1.53058,1.14234,1.13486,0.77607,0.71167,0.75561,0.50004,0.82763,0.79824,0.8286,0.00965746,0.00965746,0.00965746
175,9299.33,1.52816,1.11095,1.11661,0.75429,0.71302,0.75128,0.50077,0.82899,0.79799,0.82789,0.00965548,0.00965548,0.00965548
176,9352.39,1.50553,1.07169,1.14451,0.75225,0.7123,0.75165,0.49988,0.82718,0.79871,0.82686,0.0096535,0.0096535,0.0096535
177,9405.37,1.5397,1.11985,1.15259,0.75382,0.71478,0.75266,0.49873,0.8284,0.80045,0.82732,0.00965152,0.00965152,0.00965152
178,9458.44,1.57757,1.14199,1.14856,0.75565,0.70944,0.75111,0.50019,0.82628,0.80215,0.82826,0.00964954,0.00964954,0.00964954
